Designator,Mid X,Mid Y,Layer,Rotation
C1,33.7,-29.75,T,270.0
C10,59.84,-33.94,T,180.0
C11,59.74,-36.74,T,90.0
C12,47.71,-29.8,T,90.0
C13,38.2,-12.7,T,0.0
C14,38.2,-15.1,T,0.0
C15,17.7625,-27.575,T,180.0
C16,15.32,-32.0,T,180.0
C17,15.32,-31.0,T,180.0
C18,15.32,-30.0,T,180.0
C19,28.67,-32.0,T,180.0
C2,35.34,-30.65,T,90.0
C20,28.69,-31.0,T,180.0
C21,28.69,-30.0,T,180.0
C22,16.6,-13.8,T,180.0
C23,7.95,-10.49,T,90.0
C24,8.95,-10.49,T,90.0
C25,9.95,-10.51,T,90.0
C26,7.95,-28.0,T,90.0
C27,8.95,-28.0,T,90.0
C28,9.95,-28.0,T,90.0
C29,24.92,-7.2,T,180.0
C3,32.29,-18.65,T,270.0
C30,32.08,-8.0,T,0.0
C31,32.08,-9.0,T,0.0
C32,32.08,-10.0,T,0.0
C33,14.7,-8.0,T,0.0
C34,14.7,-9.0,T,0.0
C35,14.7,-10.0,T,0.0
C4,29.39,-18.6,T,0.0
C5,60.9,-5.2,T,180.0
C6,59.6,-3.3,T,180.0
C7,57.76,-31.49,T,180.0
C8,57.64,-34.39,T,90.0
C9,57.6,-5.51,T,90.0
D1,43.41,-30.31,T,0.0
D2,49.5,-5.4,T,180.0
D3,49.5,-3.9,T,180.0
D4,49.5,-2.4,T,180.0
FB1,35.9875,-27.35,T,180.0
J1,43.1,-25.1,T,180.0
J2,15.0,-36.8,T,180.0
J3,30.4,-36.8,T,180.0
J4,3.15,-12.3,T,90.0
J5,3.15,-27.7,T,90.0
J6,30.4,-3.2,T,0.0
J7,15.0,-3.2,T,0.0
P1,51.21,-35.71,T,180.0
Q1,38.14,-30.3,T,90.0
Q2,36.4625,-13.9,T,180.0
Q3,36.14,-20.8,T,180.0
R1,61.34,-34.44,T,90.0
R10,29.6,-13.0,T,180.0
R11,29.6,-12.0,T,180.0
R12,53.035,-26.6,T,180.0
R13,53.035,-27.6,T,180.0
R14,49.7,-28.0,T,180.0
R15,49.41,-29.79,T,90.0
R16,52.99,-31.3,T,180.0
R17,37.2,-8.3,T,180.0
R18,52.0,-5.4,T,0.0
R19,52.0,-3.9,T,0.0
R2,60.335,-26.6,T,180.0
R20,52.0,-2.4,T,0.0
R21,37.84,-22.1,T,180.0
R22,15.32,-33.0,T,0.0
R23,17.8,-32.0,T,180.0
R24,17.8,-31.0,T,180.0
R25,17.8,-30.0,T,180.0
R26,17.8,-29.0,T,180.0
R27,30.7,-33.0,T,0.0
R28,17.7625,-26.575,T,0.0
R29,25.7,-28.5,T,180.0
R3,58.6,-5.49,T,270.0
R30,31.3,-32.0,T,180.0
R31,31.3,-31.0,T,180.0
R32,31.3,-30.0,T,180.0
R33,31.3,-29.0,T,180.0
R34,6.95,-12.6,T,270.0
R35,7.95,-12.99,T,90.0
R36,8.95,-12.99,T,90.0
R37,9.95,-13.0,T,90.0
R38,10.95,-12.99,T,90.0
R39,6.95,-28.0,T,270.0
R4,33.9,-14.6,T,90.0
R40,19.1,-16.135,T,90.0
R41,12.4,-13.9,T,180.0
R42,7.95,-30.5,T,90.0
R43,8.95,-30.5,T,90.0
R44,9.95,-30.5,T,90.0
R45,10.95,-30.5,T,90.0
R46,30.12,-7.0,T,180.0
R47,29.59,-8.0,T,0.0
R48,29.59,-9.0,T,0.0
R49,29.59,-10.0,T,0.0
R5,33.64,-21.24,T,270.0
R50,29.59,-11.0,T,0.0
R51,14.7,-7.0,T,180.0
R52,27.0,-8.4,T,270.0
R53,20.0,-7.2,T,180.0
R54,12.2,-8.0,T,0.0
R55,12.2,-9.0,T,0.0
R56,12.2,-10.0,T,0.0
R57,12.2,-11.0,T,0.0
R6,36.8,-23.1,T,0.0
R7,45.835,-22.6,T,270.0
R8,45.8,-7.29,T,90.0
R9,29.6,-14.0,T,180.0
RN1,40.0,-19.3,T,270.0
SW1,35.7,-10.5,T,0.0
SW2,35.7,-17.3,T,0.0
U1,30.6,-24.1,T,270.0
U2,61.95,-30.3,T,270.0
U3,56.945,-16.3,T,270.0
U4,54.45,-29.5,T,180.0
U5,22.6625,-24.475,T,90.0
U6,14.3,-17.9,T,270.0
U7,22.6625,-11.3,T,270.0
